URL,Art,Absatz,,,,,,,,,,,,,,,,,,,,,
https://www.brandt-pb.de/Unternehmen/Wir-ueber-uns/,Gründung,Das Unternehmen Brandt GmbH wurde von Eduard Brandt am 01.06.1952 als Einzelfirma in Paderborn gegründet.,,,,,,,,,,,,,,,,,,,,,
https://www.brandt-pb.de/Unternehmen/Wir-ueber-uns/,Mitarbeiter,Durch einen konjukturellen Aufschwung wuchs der Betrieb in den folgenden Jahren auf 7 Mitarbeiter an.,,,,,,,,,,,,,,,,,,,,,
https://www.sanitaer-ohz.de/unternehmen/shk/team,Gründung,GRÜNDUNG 2007,,,,,,,,,,,,,,,,,,,,,
https://www.sanitaer-ohz.de/unternehmen/shk/team,Mitarbeiter,MITARBEITER 21 + 3 Auszubildende,,,,,,,,,,,,,,,,,,,,,
https://www.sundh.de,Gründung,Unsere S+H – Sanitär- und Heizungstechnik Vechta wurde 1966 gegründet ist seit über 50 Jahren DER zuverlässige Handwerksbetrieb an der Seite unserer Kunden.,,,,,,,,,,,,,,,,,,,,,
https://www.sundh.de,Mitarbeiter,"Rund 90 Mitarbeiter im Firmenverbund, Spezialisten, wie Meister der Gewerke, Versorgungstechniker, Diplom-Ingenieure und natürlich gut geschulte Monteure unterstützen unsere Kunden mit Kompetenz und Leistungsfähigkeit. Nach der Fertigstellung einer Baumaßnahme steht unser hochqualifiziertes Serviceteam für Wartungen und Instandhaltungen bereit.",,,,,,,,,,,,,,,,,,,,,
https://www.j-runge.de/unternehmen/shk/team,Mitarbeiter,FOTOS,,,,,,,,,,,,,,,,,,,,,
https://www.j-runge.de/unternehmen/shk/ueber_uns,Mitarbeiter,"Heute besteht unser Team aus ca. 20 Mitar­beitern (Meister, Gesellen, Kunden­dienst­mon­teure, Aus­zu­bil­dende, Büro­kräfte sowie die Geschäfts­leitung).",,,,,,,,,,,,,,,,,,,,,
https://www.lohr-lueneburg.de/unternehmen/shk/team,Mitarbeiter,FOTOS,,,,,,,,,,,,,,,,,,,,,
https://www.sonderfeld.de/unternehmen/shk/team,Mitarbeiter,FOTOS,,,,,,,,,,,,,,,,,,,,,
https://www.dietmar-mueller-hls.de/unternehmen/shk/team,Mitarbeiter,FOTOS,,,,,,,,,,,,,,,,,,,,,
https://www.dachdecker-team.de/,Gründung,"Die Dachdecker-Team GmbH aus dem Havelland, bietet seit 2003 mit seinen hochmotivierten und qualifizierten Mitarbeitern, qualitativ hochwertige Arbeiten bei allen anfallenden Dachdeckerarbeiten sowie diversen Nebenarbeiten an.",,,,,,,,,,,,,,,,,,,,,
https://www.dachdecker-industriellehallen.de/unternehmen/,Mitarbeiter,FOTOS,,,,,,,,,,,,,,,,,,,,,
https://www.zep-team.de/,Mitarbeiter,FOTO,,,,,,,,,,,,,,,,,,,,,
https://www.dachdecker-owl.de/ueber-uns.html,Gründung,Die Firma JAKOB PETKER Dachdeckermeister GmbH blickt auf eine 20jährige Firmengeschichte zurück.,,,,,,,,,,,,,,,,,,,,,
https://www.dachdecker-owl.de/ueber-uns.html,Mitarbeiter,Seit der Gründung sind wir schnell gewachsen und beschäftigen seitdem regelmäßig 15-20 Mitarbeiter.,,,,,,,,,,,,,,,,,,,,,
https://www.dachdecker-blomberg.com/ueber-uns/,Gründung,Am 11.03.2004 schließlich die Gründung des heutigen Dachdeckerunternehmens durch Daniel Blomberg seinerzeit am Standort Verl.,,,,,,,,,,,,,,,,,,,,,
https://www.dachdecker-blomberg.com/ueber-uns/,Mitarbeiter,"Zur Zeit beschäftigt die Dachdeckerei Daniel Blomberg 19 Dachdeckergesellen, Zimmerer, Dachdecker Helfer sowie zwei Mitarbeiterinnen im kaufmännischen Büro und drei Auszubildende.",,,,,,,,,,,,,,,,,,,,,
https://palsbroeker.de/ueber-uns,Gründung,Seit nun fast 120 Jahren wird der Handwerksbetrieb in vierter Generation am Strotweg 18 in Bünde geführt. Der Firmengründer Heinrich übergab seinem Sohn Werner den väterlichen Betrieb 1926.,,,,,,,,,,,,,,,,,,,,,
https://palsbroeker.de/ueber-uns,Mitarbeiter,FOTOS (MIT HUND),,,,,,,,,,,,,,,,,,,,,
https://dachdecker-pro.de/uber-uns/,Gründung,Seit über 10 Jahren bieten wir hochwertige Dachdeckerarbeiten in Hagen und Umgebung an.,,,,,,,,,,,,,,,,,,,,,
https://www.dachdecker-grueter.de/ueber-uns.html,Gründung,Unser Dachdeckerbetrieb wurde 1988 nach bestandener Meisterprüfung von Detlef Grüter gegründet,,,,,,,,,,,,,,,,,,,,,
https://www.dachdecker-grueter.de/ueber-uns.html,Mitarbeiter,Heute besteht unser Team aus 12 Mitarbeitern,,,,,,,,,,,,,,,,,,,,,
https://www.dachdecker-elsbecker.de/ueber-uns/index.html,Gründung,Am 1. Juli 2021 beging Andreas Elsbecker sein 30-jähriges Firmenbestehen.,,,,,,,,,,,,,,,,,,,,,
https://www.dachdecker-elsbecker.de/ueber-uns/index.html,Mitarbeiter,FOTO,,,,,,,,,,,,,,,,,,,,,
https://www.dachdecker-loewen.de/%C3%BCber-uns,Mitarbeiter,Heute besteht unser Team aus drei engagierten Mitarbeitern.,,,,,,,,,,,,,,,,,,,,,
https://www.dachdecker-loewen.de/%C3%BCber-uns,Gründung,Als Inhaber eines jungen Dachdeckerunternehmen besitze ich bereits über 15 Jahren Berufserfahrung in der Branche.,,,,,,,,,,,,,,,,,,,,,
https://otten-grein.de/wir-ueber-uns/,Gründung,Ein Familienbetrieb seit 1938,,,,,,,,,,,,,,,,,,,,,
https://www.becker-dachdecker-stommeln.de/%C3%BCber-uns/,Gründung,Der Dachdeckerbetrieb Becker wurde 1879 von Heinrich Becker in Stommeln gegründet und seither in Familienhand weitergeführt – mittlerweile in der fünften Generation.,,,,,,,,,,,,,,,,,,,,,
https://www.becker-dachdecker-stommeln.de/%C3%BCber-uns/,Mitarbeiter,Der Meisterbetrieb beschäftigt derzeit dreizehn Angestellte hiervon sind drei Auszubildende.,,,,,,,,,,,,,,,,,,,,,
https://www.menke-haustechnik.de/unternehmen/shk/team,Mitarbeiter,FOTOS,,,,,,,,,,,,,,,,,,,,,
https://www.marquardt-streck.de/ueber-uns/team,Mitarbeiter,FOTOS,,,,,,,,,,,,,,,,,,,,,
https://www.marquardt-streck.de/ueber-uns,Mitarbeiter,Als Dienstleistung­sunter­nehmen für Haus­technik in Hamburg verfügt Marquardt & Streck über 25 qualifizierte Mitarbeiter.,,,,,,,,,,,,,,,,,,,,,
https://www.marquardt-streck.de/ueber-uns,Gründung,Genau das machen wir bei Marquardt & Streck seit mehr als 30 Jahren. Wir sind Ihre Profis für Haus­technik.,,,,,,,,,,,,,,,,,,,,,
https://www.heitmann-haustechnik.de/loesungen/sanitaer/,Mitarbeiter,"Mit seinen 65 Mitarbeitenden ist das auf die Technische Gebäudeausrüstung (TGA) spezialisierte Unternehmen ein Komplettanbieter für die Bereiche Heizung, Klima, Lüftung, Sanitär, Gebäude- und Elektrotec",,,,,,,,,,,,,,,,,,,,,
https://www.heitmann-haustechnik.de/ueber-uns-2/,Gründung,Am 1. Juli 1984 gründete Günter Heitmann die Heitmann Haustechnik GmbH. Heute ist das Unternehmen auf die ganzheitliche Umsetzung und Planung im Bereich der technischen Gebäudeausrüstung (TGA) spezialisiert. Volker Heitmann hat 2006 die kaufmännische Leitung des Unternehmens übernommen.,,,,,,,,,,,,,,,,,,,,,
https://www.dachdecker-sommer.de/,Gründung,Über 30 Jahre zufriedene Kunden in Lemgo und Umgebung.,,,,,,,,,,,,,,,,,,,,,
https://www.wiesner-dachdecker.de/%C3%BCber-uns/,Gründung,"Der Name Wiesner ist bereits seit über 40 Jahren ein Begriff, wenn es um Dächer und Fassaden geht. In Mülheim an der Ruhr ansässig, begann der Vater, Wilhelm Wiesner, in den 1970 er Jahren mit einem kleinen LKW und viel Spaß an seinem Beruf.",,,,,,,,,,,,,,,,,,,,,
https://www.wiesner-dachdecker.de/%C3%BCber-uns/,Mitarbeiter,"Seit 2003 leitet Andreas Wiesner, Dachklempnergeselle und Dachdeckermeister den Familienbetrieb und beschäftig 4 Dachdeckergesellen und einen Lehrling.",,,,,,,,,,,,,,,,,,,,,
https://dachdecker-kayser.de/jobs.html,Gründung,Wir sind seit 2014 ein eingetragener Handwerksbetrieb mit mehr als 35 Jahren Berufserfahrung.,,,,,,,,,,,,,,,,,,,,,
https://presuhn.de/ueber-uns,Gründung,Seit 1872 sind wir als Dachdeckermeister aktiv und haben in dieser Zeit fünf Generationen erfahrener Experten hervorgebracht.,,,,,,,,,,,,,,,,,,,,,
https://presuhn.de/ueber-uns,Mitarbeiter,FOTOS,,,,,,,,,,,,,,,,,,,,,
https://www.raabe-bedachungen.de/,Gründung,Seit über 155 Jahren verknüpfen wir traditionelles Handwerk mit modernster Technik. Am 18. April 1865 gründete der Ur-Ur-Großvater August Raabe in Lemgo das wohl älteste Bedachungsgeschäft in Lippe.,,,,,,,,,,,,,,,,,,,,,
https://www.dachdecker-henschel.de/wir-ueber-uns/,Gründung,Seinen mittlerweile renommierten Meisterbetrieb führt Andreas Henschel seit 2011.,,,,,,,,,,,,,,,,,,,,,
https://www.dachdecker-henschel.de/wir-ueber-uns/,Mitarbeiter,FOTOS (MIT HUND),,,,,,,,,,,,,,,,,,,,,
https://www.dach-lang.de/ueberuns/,Gründung,1953 gegründet,,,,,,,,,,,,,,,,,,,,,
https://www.dach-lang.de/ueberuns/,Mitarbeiter,40 Mitarbeiter,,,,,,,,,,,,,,,,,,,,,
https://www.finke-bedachungen.de/wir-%C3%BCber-uns/,Gründung,Finke Bedachungen wurde 1946 in Weyhe-Melchiorshausen von Johann Finke gegründet.,,,,,,,,,,,,,,,,,,,,,
https://www.finke-bedachungen.de/wir-%C3%BCber-uns/,Mitarbeiter,Kontinuierlich beschäftigt der Betrieb 15 Mitarbeiter darunter 2 Auszubildende.,,,,,,,,,,,,,,,,,,,,,
https://polten-iserlohn.de,Gründung,"Seit mehr als 30 Jahren sind wir Ihr kompetenter Partner, wenn es um Heizung und Sanitär, sowie damit verbundene Planung, Installation, Wartung und Reparaturen geht.",,,,,,,,,,,,,,,,,,,,,
https://www.luehrs-kleinbad.de/unternehmen/shk/ueber_uns,Mitarbeiter,Rund 20 Mit­ar­bei­ter sor­gen stän­dig für die Zu­frie­den­heit der Kunden.,,,,,,,,,,,,,,,,,,,,,
https://www.luehrs-kleinbad.de/unternehmen/shk/ueber_uns,Gründung,Bereits 1881 wurde die Firma Lührs & Co. in Ham­burg ge­grün­det.,,,,,,,,,,,,,,,,,,,,,
https://www.sanitaer-besa.de/ueber-uns/ueber-sanitaer-besa/,Gründung,Die Firma Besa Sanitärtechnik GmbH wurde im Dezember 2004 in Leutenbach gegründet.,,,,,,,,,,,,,,,,,,,,,
https://www.sanitaer-besa.de/ueber-uns/ueber-sanitaer-besa/,Mitarbeiter,Wir beschäftigen zur Zeit 20 Mitarbeiter in verschiedenen Bereichen und wachsen immer weiter.,,,,,,,,,,,,,,,,,,,,,
https://www.huber-heizungsbau.de/unsere-geschichte.html,Gründung,Das Familienunternehmen wurde Ende 1972 von Adolf Huber in den Räumlichkeiten des Staudinger Hofs in Ampfing mit nur einem Mitarbeiter gegründet.,,,,,,,,,,,,,,,,,,,,,
https://www.koethe-gmbh.de/unternehmen/shk/ueber_uns,Gründung,1962 wurde die W. Köthe GmbH in Hannover von Werner Köthe gegründet und wird seit 1998 in der 2. Generation von Christian Köthe geführt.,,,,,,,,,,,,,,,,,,,,,
https://www.koethe-gmbh.de/unternehmen/shk/team,Mitarbeiter,FOTOS,,,,,,,,,,,,,,,,,,,,,
https://www.sparwel.de/unternehmen/shk/ueber_uns,Gründung,Die Firma Sparwel wurde 1970 von Ludwig Sparwel gegründet und wird nun in zweiter Generation durch Obermeister Ralf Sparwel geführt.,,,,,,,,,,,,,,,,,,,,,
https://www.sparwel.de/unternehmen/shk/team,Mitarbeiter,FOTOS,,,,,,,,,,,,,,,,,,,,,
https://www.hopf-solar.de/unternehmen/shk/firmenchronik,Gründung,Seit 1753 ist die Familie Hopf in Warstein als Handwerksbetrieb tätig.,,,,,,,,,,,,,,,,,,,,,
https://www.hopf-solar.de/unternehmen/shk/team,Mitarbeiter,FOTOS,,,,,,,,,,,,,,,,,,,,,
https://adlersolar.de/region-oldenburg/,Gründung,Gegründet wurde ADLER Solar 2008. ,,,,,,,,,,,,,,,,,,,,,
https://www.sunenergiekonzept.de/ueber-uns,Gründung,Unser Unternehmen in Zahlen 799 installierte Solarpanele 69235 generierte Kilowattstunden 112 glückliche Kunden 2020 gegründet,,,,,,,,,,,,,,,,,,,,,
https://moin.solar/unsere-geschichte-photovoltaik-westerstede,Gründung,"Gegründet wurde die MOIN SOLAR GmbH im Mai 2020 durch Simon Eilers und Stefan Janßen, damals noch als JE KAPITAL GmbH.",,,,,,,,,,,,,,,,,,,,,
https://www.klaus-weber-gmbh.de/ueber-uns/historie.html,Gründung,"Seit Klaus Weber kurz nach seiner Meisterprüfung zum Gas- und Wasserinstallateur 1961 die Firma in der Eschstraße 40 gegründet hat, wird die bodenständige Firma stets auf modernstem Stand gehalten.",,,,,,,,,,,,,,,,,,,,,
https://www.klaus-weber-gmbh.de/ueber-uns/historie.html,Mitarbeiter,FOTOS,,,,,,,,,,,,,,,,,,,,,
https://www.deindach-hemmersbach.de/uberuns/,Gründung,Timeline,,,,,,,,,,,,,,,,,,,,,
https://www.deindach-hemmersbach.de/uberuns/,Mitarbeiter,FOTOS,,,,,,,,,,,,,,,,,,,,,
https://www.muck-dach.de/index.php/ueber-uns,Gründung,"Seit über 65 Jahren steht unser Unternehmen, nun mehr in dritter Generation, im Dienste unserer zufriedenen Kundschaft.",,,,,,,,,,,,,,,,,,,,,
https://www.dachdeckerei-bossmann.de/ueber-uns,Gründung,30+ Jahre Erfahrung,,,,,,,,,,,,,,,,,,,,,
https://www.dachdeckerei-bossmann.de/ueber-uns,Mitarbeiter,25 Motivierte Mitarbeiter,,,,,,,,,,,,,,,,,,,,,
https://www.w-elstermeier.de/ueber-uns/,Gründung,"Seit 1949 sind wir Ihr fachlich kompetener und zuverlässiger Ansprechpartner für erstklassige Dachdecker, Bauklempner und Abdichtungsarbeiten aller Art.",,,,,,,,,,,,,,,,,,,,,
https://www.dachprofi-senden.de/%C3%BCber-uns/,Gründung,"Im Jahr 2010 als Groß Bedachung GbR gegründet, firmierte unser Unternehmen 2016 um zur GmbH.",,,,,,,,,,,,,,,,,,,,,
https://www.dachprofi-senden.de/%C3%BCber-uns/,Mitarbeiter,Unsere Firma ist derzeit ein effizienter 7-Mann-Betrieb.,,,,,,,,,,,,,,,,,,,,,
https://voges-dach.de/ueber-uns-dachdecker-meisterbetrieb-jan-voges-gmbh/#team,Gründung,"Als ich vor fast 20 Jahren begonnen habe, mein eigenes Unternehmen zu gründen, wollte ich Dinge immer besser machen und einen guten Service bieten.",,,,,,,,,,,,,,,,,,,,,
https://www.kunert-daecher.de/,Gründung,Wir von der Kunert Dächer und Bau GmbH haben mehr als 30 Jahre Erfahrung in der Bedachungs- und Baubranche.,,,,,,,,,,,,,,,,,,,,,
https://www.mse-dach.de/%C3%BCber-uns,Mitarbeiter,Wir beschäftigen durchschnittlich 20 Arbeitnehmer und von denen der größte Teil aus eigener Ausbildung stammt.,,,,,,,,,,,,,,,,,,,,,
https://www.mse-dach.de/%C3%BCber-uns,Gründung,"Die Friedländer Dachdecker eG ist ein Dachdeckermeisterbetrieb, der seit 1990 in Norddeutschland tätig ist.",,,,,,,,,,,,,,,,,,,,,
https://tillmann-bedachungen.de/ueber-uns/,Mitarbeiter,"Unser Team besteht aus 6 qualifizierten Mitarbeitern, einem Helfer und einem Auszubildenden.",,,,,,,,,,,,,,,,,,,,,
https://www.stoeffelmeir.de/ueber-uns-dachdecker-augsburg/,Gründung,Timeline,,,,,,,,,,,,,,,,,,,,,
https://www.tiede-bedachungen.de/ueber_uns,Mitarbeiter,"Das Team von Tiede Bedachungen wird durch zwei weitere Dachdeckergesellen, ein Lehrling sowie ein weiterer Dachdeckergehilfe vervollständigt.",,,,,,,,,,,,,,,,,,,,,
https://www.tiede-bedachungen.de/ueber_uns,Gründung,seit 17.11.2011 Selbstständigkeit Tiede Bedachungen,,,,,,,,,,,,,,,,,,,,,
https://www.dach-atlas.de/ueber-uns/,Mitarbeiter,Seit über 20 Jahren steht unser Fachbetrieb für Zuverlässigkeit und nachhaltige Qualität.,,,,,,,,,,,,,,,,,,,,,
https://www.radebeuler-dachdecker.de/%C3%BCber-uns,Mitarbeiter,Mit über 30 Mit­ar­bei­tern zählt die Ra­de­beu­ler Dach­de­cker GmbH aus 01445 Ra­de­beul zu den größ­ten In­nungs­be­trie­ben der Re­gi­on.,,,,,,,,,,,,,,,,,,,,,
https://www.radebeuler-dachdecker.de/%C3%BCber-uns,Gründung,"Aus der 1959 ge­grün­de­ten Pro­duk­ti­ons­ge­mein­schaft des Hand­werks PGH „Em­por“ her­vor­ge­gan­gen, zäh­len die Pro­fis des tra­di­ti­ons­rei­chen Dach­de­cker­un­ter­neh­mens zu den er­fah­rens­ten ih­rer Bran­che.",,,,,,,,,,,,,,,,,,,,,
https://dachdecker-melchior.de/home/ueber-uns,Gründung,"Die Geschichte der Melchior Dachdecker GmbH reicht bis ins Jahr 1897 zurück, als der Dachdeckermeister Paul Melchior in Priebus/Schlesien seinen Handwerksbetrieb gründete.",,,,,,,,,,,,,,,,,,,,,
https://baars-bedachungen.de/72/unser-team,Gründung,"Die Firma Baars Bedachungen GmbH, gegründet im Jahr 1984, blickt auf eine mehr als 35 jährige Firmengeschichte zurück.",,,,,,,,,,,,,,,,,,,,,
https://baars-bedachungen.de/72/unser-team,Mitarbeiter,FOTOS,,,,,,,,,,,,,,,,,,,,,
https://www.dachdecker-krumm.de/ueber-uns/,Mitarbeiter,Unser Team besteht aus .15 Mitarbeitern,,,,,,,,,,,,,,,,,,,,,
https://www.dachdecker-krumm.de/ueber-uns/,Gründung,Die ersten Grundsteine waren gelegt und Herr Krumm konnte das Dachdeckergewerbe am 01.09.2003 eröffnen.,,,,,,,,,,,,,,,,,,,,,
https://www.neuss-ac.de/ueber-uns.html,Gründung,Die Firma Bedachungen Neuss wurde 2005 durch den Betriebsinhaber und Dachdeckermeister Frank Neuss gegründet.,,,,,,,,,,,,,,,,,,,,,
https://www.neuss-ac.de/ueber-uns.html,Mitarbeiter,FOTOS,,,,,,,,,,,,,,,,,,,,,
https://dachschaden.de/ueber-uns/,Gründung,Das mittelständische Familienunternehmen wurde 1905 in Dresden gegründet.,,,,,,,,,,,,,,,,,,,,,
https://dachschaden.de/ueber-uns/,Mitarbeiter,Die Qualifizierung der 60 Mitarbeiter nimmt einen hohen Stellenwert ein und wird durch regelmäßige Fachschulungen gesichert.,,,,,,,,,,,,,,,,,,,,,
https://ottobedachungen.de/,Gründung,"Als Meisterbetrieb seit 1990 bieten wir alle Arbeitsleistungen im Dachbereich in höchster Qualität aus einer Hand an, was unseren Auftraggebern Zeit, Nerven und vor allem Geld spart.",,,,,,,,,,,,,,,,,,,,,
https://ottobedachungen.de/,Mitarbeiter,FOTO,,,,,,,,,,,,,,,,,,,,,
https://viellechner.com/,Gründung,Die Dachdeckerei Viellechner aus Berlin ist seit 1992 Ihr Ansprechpartner rund ums Dach.,,,,,,,,,,,,,,,,,,,,,
https://viellechner.com/,Mitarbeiter,FOTO,,,,,,,,,,,,,,,,,,,,,
https://www.dachdeckermeister-aljo-sennewald.de/,Gründung,"Im März 2000 wurde die Firma durch mich, Dachdeckermeister Aljo Sennewald, mit zwei angestellten Gesellen in Herbsleben (Unstrut-Hainich-Kreis Thüringen) gegründet.",,,,,,,,,,,,,,,,,,,,,
https://www.dachdeckermeister-aljo-sennewald.de/,Mitarbeiter,"Unser Team besteht zurzeit aus sechs zuverlässigen und fachlich unterschiedlich spezialiserten Dachdeckern, einer guten Seele im Büro und einem Lehrling.",,,,,,,,,,,,,,,,,,,,,
https://dach-jaeger.de/ueber-uns/,Gründung,"Seit 2005 sind wir Ihr kompetenter Partner rund ums Dach bei Neueindeckungen, Dachsanierungen, Dachausbau und Dachneubau.",,,,,,,,,,,,,,,,,,,,,
https://dach-jaeger.de/ueber-uns/,Mitarbeiter,FOTO/FOTOS,,,,,,,,,,,,,,,,,,,,,
https://warnke-dach.de/ueber-uns/,Gründung,"Unsere Dachdeckerei besteht seit 1985, und wir haben z.Zt. 15 Mitarbeiter davon drei Azubis beschäftigt.",,,,,,,,,,,,,,,,,,,,,
https://warnke-dach.de/ueber-uns/,Mitarbeiter,"Unsere Dachdeckerei besteht seit 1985, und wir haben z.Zt. 15 Mitarbeiter davon drei Azubis beschäftigt.",,,,,,,,,,,,,,,,,,,,,
https://www.barner-bedachungen.de/unternehmen/dach-holzbau/ueber_uns,Gründung,Gegründet wurde unser Familien­unter­nehmen in Min­den / West­falen bereits im Jahre 1925 durch Wil­helm Barner.,,,,,,,,,,,,,,,,,,,,,
https://www.barner-bedachungen.de/unternehmen/dach-holzbau/ueber_uns,Mitarbeiter,"Sämt­liche Dach­ar­bei­ten führen heute 23 Mitar­beiter, darunter zwei Aus­zubil­dende, mit großem hand­werk­lichen Geschick in be­währ­ter Qua­lität aus.",,,,,,,,,,,,,,,,,,,,,
https://www.frittgen-dachdecker-hamm.de/ueber-uns/,Gründung,Unser Dachdeckerfachbetrieb blickt auf eine 30-jährige Geschichte zurück.,,,,,,,,,,,,,,,,,,,,,
https://kutschinski-bedachungen.de/,Mitarbeiter,"Unsere 15 Mitarbeiter sind gut ausgebildet, motiviert und zuverlässig",,,,,,,,,,,,,,,,,,,,,
https://www.dachdecker-latussek.de/index.php/ueberuns,Gründung,Das Unternehmen „Dachdecker Latussek“ mit Firmensitz in Werne wurde 2015 von Dachdeckermeister Randy Latussek (rechts im Bild) gegründet.,,,,,,,,,,,,,,,,,,,,,
https://www.dachdecker-latussek.de/index.php/team,Mitarbeiter,FOTOS,,,,,,,,,,,,,,,,,,,,,
https://www.dachdecker-in-dortmund.de/,Gründung,Das Unternehmen wurde 1988 durch Matthias und Hans Gerd Lagoda gegründet und nahm am 16.01.1989 den Geschäftsbetrieb auf.,,,,,,,,,,,,,,,,,,,,,
https://www.dachdecker-detjen.de/uber-uns,Gründung,"1992 gründete der Dachdeckermeister Frank Detjen als Einzelunternehmung die Dachdeckerei in Bückeburg, sechs Jahre später erfolgte die Umfirmierung in eine GmbH.",,,,,,,,,,,,,,,,,,,,,
https://dachdecker-gmbh.de/,Gründung,20+ Jahre Erfahrung,,,,,,,,,,,,,,,,,,,,,
https://www.hoffmann-ddm.de/%C3%BCber-uns/,Gründung,1952 gründete Dachdeckermeister Josef Hoffmann seinen Betrieb in Osnabrück-Haste.,,,,,,,,,,,,,,,,,,,,,
https://www.puellmann-dach.de/ueber-uns.html,Gründung,Die Firma Püllmann Dachbau besteht in diesem Jahr 151 Jahre.,,,,,,,,,,,,,,,,,,,,,
https://www.puellmann-dach.de/ueber-uns.html,Mitarbeiter,In unserem mittelständischen Handwerksbetrieb sind zur Zeit 27 Mitarbeiterinnen und Mitarbeiter beschäftigt.,,,,,,,,,,,,,,,,,,,,,
https://www.dachweiss.de/ueber-uns/,Gründung,Bereits seit 1972 sind wir für unsere Kunden aktiv.,,,,,,,,,,,,,,,,,,,,,
https://schulze-dachdecker.de/wir-ueber-uns,Gründung,Der Dachdecker-Meisterbetrieb Werner Schulze GmbH ist seit 1954 Ihr Ansprechpartner rund um das Thema Dachdeckerarbeiten und mehr.,,,,,,,,,,,,,,,,,,,,,
https://www.schmitz-waldmohr.de/unternehmen/dach-holzbau/ueber_uns,Mitarbeiter,Saisonal beschäftigen wir zwischen 12 und 18 Mitarbeitern.,,,,,,,,,,,,,,,,,,,,,
https://www.schmitz-waldmohr.de/unternehmen/dach-holzbau/ueber_uns,Gründung,Timeline,,,,,,,,,,,,,,,,,,,,,
https://klus-dachdecker.de/ueber-uns/,Gründung,Bereits im Jahre 1980 wurde Klus Bedachungen in Lingen an der Ems gegründet.,,,,,,,,,,,,,,,,,,,,,
https://klus-dachdecker.de/ueber-uns/,Mitarbeiter,40 Mitarbeiter kompetent und zuverlässig,,,,,,,,,,,,,,,,,,,,,
https://www.bedachungen-reimann.de/wir-ueber-uns,Gründung,Gegründet wurde unser Unternehmen als Familienbetrieb am 01.04.2004 von Inhaber und Dachdeckermeister Sebastian Reimann.,,,,,,,,,,,,,,,,,,,,,
https://www.howald.de/ueber-uns.html,Gründung,DachfensterSeit über 60 Jahren steht unser Name für qualitative Dacheindeckungen aller Art.,,,,,,,,,,,,,,,,,,,,,
https://schomberg-co.de/ueber-uns/,Mitarbeiter,Die meisten unserer 30 Mitarbeiter sind schon viele Jahre bei uns im Betrieb. / FOTO,,,,,,,,,,,,,,,,,,,,,
